epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.6819,4.1013,6.62351,2.6609,0.01322,0.11431,0.0411,0.01122,3.51122,6.48154,2.36242,0.0003,0.0003,0.0003
2,53.4054,3.33371,3.86566,2.11433,0.00022,0.00192,0.00011,5e-05,6.27596,6.47183,3.70334,0.000613862,0.000613862,0.000613862
3,64.1677,3.21381,2.43148,2.15619,0.01622,0.14025,0.01461,0.00692,4.16717,5.46484,2.6341,0.000921388,0.000921388,0.000921388
4,74.3412,3.09347,2.1428,2.16359,0.06244,0.53987,0.40358,0.19743,3.89116,4.64207,2.5567,0.00122258,0.00122258,0.00122258
5,84.808,3.20661,2.06882,2.18824,0.76192,0.52546,0.56923,0.32937,2.87798,3.97753,2.12051,0.00151743,0.00151743,0.00151743
6,95.3817,3.14769,1.91986,2.17016,0.91406,0.32696,0.76832,0.43327,2.94878,3.1996,2.14879,0.00180595,0.00180595,0.00180595
7,105.87,3.194,1.90618,2.19849,0.89401,0.56388,0.81024,0.43304,3.06778,3.09312,2.29442,0.0018812,0.0018812,0.0018812
8,116.092,3.1645,1.82518,2.18794,0.80625,0.58762,0.67508,0.36428,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,126.418,3.09921,1.7634,2.20165,0.79565,0.80596,0.87816,0.47246,3.1375,1.9026,2.33865,0.0018416,0.0018416,0.0018416
10,136.756,3.1019,1.70376,2.18892,0.80048,0.83246,0.89011,0.49663,2.95098,1.65072,2.29241,0.0018218,0.0018218,0.0018218
11,147.3,3.14405,1.63345,2.17994,0.85723,0.83573,0.91013,0.4983,3.05733,1.52118,2.34224,0.001802,0.001802,0.001802
12,157.639,3.0411,1.61469,2.17192,0.79786,0.8152,0.86701,0.41354,3.60296,1.69776,2.54831,0.0017822,0.0017822,0.0017822
13,168.217,3.05714,1.56719,2.1727,0.83418,0.86986,0.91323,0.52951,2.909,1.40122,2.25797,0.0017624,0.0017624,0.0017624
14,178.473,3.01724,1.54061,2.17351,0.8747,0.86647,0.93575,0.52036,2.9775,1.36708,2.31495,0.0017426,0.0017426,0.0017426
15,188.857,2.99912,1.48611,2.17175,0.87784,0.88359,0.94052,0.52037,3.09037,1.34737,2.39325,0.0017228,0.0017228,0.0017228
16,199.145,3.08079,1.51949,2.21051,0.88782,0.87428,0.94586,0.54277,2.96684,1.29691,2.33983,0.001703,0.001703,0.001703
17,209.486,3.01018,1.41786,2.16955,0.89586,0.90076,0.95662,0.53758,2.98514,1.23164,2.34044,0.0016832,0.0016832,0.0016832
18,219.782,3.03758,1.43089,2.19837,0.88941,0.88377,0.93733,0.53407,2.91797,1.2458,2.30489,0.0016634,0.0016634,0.0016634
19,230.239,3.06214,1.41046,2.18105,0.91729,0.92682,0.96668,0.564,2.85106,1.18766,2.27095,0.0016436,0.0016436,0.0016436
20,240.558,3.02908,1.3836,2.16535,0.90666,0.90778,0.96382,0.56075,2.90532,1.21064,2.2868,0.0016238,0.0016238,0.0016238
21,250.859,2.93761,1.34832,2.17654,0.94598,0.90842,0.97034,0.5829,2.81942,1.09786,2.27156,0.001604,0.001604,0.001604
22,261.234,2.99315,1.34832,2.17563,0.92268,0.93276,0.96894,0.576,2.82343,1.11781,2.28082,0.0015842,0.0015842,0.0015842
23,271.418,2.93064,1.29788,2.15532,0.92954,0.92411,0.96937,0.53525,3.06209,1.13188,2.4044,0.0015644,0.0015644,0.0015644
24,281.919,3.00376,1.32757,2.1919,0.93073,0.92925,0.97592,0.56653,2.92004,1.12219,2.31565,0.0015446,0.0015446,0.0015446
25,292.258,2.96253,1.30918,2.18791,0.94606,0.92507,0.96927,0.57045,2.88752,1.11928,2.31011,0.0015248,0.0015248,0.0015248
26,302.522,2.90606,1.27033,2.16065,0.95474,0.9524,0.9786,0.59018,2.78159,1.0418,2.25244,0.001505,0.001505,0.001505
27,313.021,2.91104,1.266,2.13278,0.93561,0.92988,0.97293,0.58071,2.77374,1.0941,2.25743,0.0014852,0.0014852,0.0014852
28,323.511,2.96274,1.26323,2.16006,0.92282,0.91643,0.95908,0.5201,3.14879,1.29731,2.45226,0.0014654,0.0014654,0.0014654
29,333.793,2.95138,1.25691,2.18095,0.94868,0.94332,0.97551,0.58431,2.80857,1.05062,2.26053,0.0014456,0.0014456,0.0014456
30,343.876,2.9179,1.2315,2.17343,0.92095,0.9401,0.97193,0.57582,2.86005,1.07216,2.28467,0.0014258,0.0014258,0.0014258
31,354.135,2.90942,1.23229,2.16106,0.95159,0.93948,0.97713,0.57399,2.87799,1.03792,2.30482,0.001406,0.001406,0.001406
32,364.144,2.86729,1.21262,2.15984,0.94832,0.93418,0.97645,0.59048,2.77938,1.03739,2.25767,0.0013862,0.0013862,0.0013862
33,374.394,2.87752,1.19633,2.16282,0.95518,0.94173,0.97781,0.58804,2.8476,1.02721,2.28253,0.0013664,0.0013664,0.0013664
34,384.796,2.87902,1.1915,2.1312,0.94732,0.94909,0.9783,0.58497,2.90955,1.00765,2.31417,0.0013466,0.0013466,0.0013466
35,395.203,2.89352,1.1917,2.1548,0.94742,0.93471,0.98014,0.59499,2.8265,1.00239,2.2546,0.0013268,0.0013268,0.0013268
36,405.349,2.83716,1.17403,2.12129,0.95983,0.93468,0.97804,0.59835,2.86419,0.99927,2.28441,0.001307,0.001307,0.001307
37,415.701,2.8753,1.17015,2.1249,0.93792,0.94524,0.97569,0.58028,2.89415,1.02959,2.30355,0.0012872,0.0012872,0.0012872
38,425.708,2.80663,1.14913,2.12391,0.94416,0.94044,0.97863,0.59292,2.79363,1.01352,2.26723,0.0012674,0.0012674,0.0012674
39,436.057,2.85002,1.16456,2.14447,0.95165,0.94044,0.97588,0.59366,2.77227,1.03442,2.25475,0.0012476,0.0012476,0.0012476
40,446.539,2.83153,1.18052,2.13741,0.95069,0.94813,0.97636,0.59097,2.82118,1.01593,2.28287,0.0012278,0.0012278,0.0012278
41,456.977,2.83563,1.1695,2.12085,0.96082,0.94233,0.98251,0.59987,2.79166,0.98408,2.26634,0.001208,0.001208,0.001208
42,467.145,2.81612,1.15696,2.14443,0.96181,0.92027,0.9782,0.60031,2.83053,0.99151,2.2696,0.0011882,0.0011882,0.0011882
43,477.495,2.80661,1.14532,2.11976,0.95469,0.95677,0.97981,0.60045,2.78147,0.99717,2.25876,0.0011684,0.0011684,0.0011684
44,487.601,2.77112,1.12764,2.14494,0.96592,0.95292,0.98223,0.60077,2.81083,0.97962,2.27795,0.0011486,0.0011486,0.0011486
45,497.942,2.79223,1.13691,2.10913,0.96633,0.93756,0.98279,0.58696,2.83761,0.98382,2.28342,0.0011288,0.0011288,0.0011288
46,508.214,2.78014,1.10867,2.12132,0.96555,0.94813,0.98506,0.6018,2.78763,0.97283,2.26719,0.001109,0.001109,0.001109
47,518.406,2.79096,1.11157,2.13404,0.95926,0.94989,0.97754,0.58927,2.82573,1.01145,2.27528,0.0010892,0.0010892,0.0010892
48,528.81,2.80073,1.13221,2.11441,0.96785,0.95431,0.98528,0.60454,2.76947,0.97797,2.25802,0.0010694,0.0010694,0.0010694
49,539.361,2.76143,1.11424,2.11599,0.97611,0.94188,0.98432,0.60314,2.82082,0.94934,2.26839,0.0010496,0.0010496,0.0010496
50,549.44,2.74832,1.10109,2.11044,0.95845,0.95275,0.9857,0.60447,2.78486,0.94231,2.24926,0.0010298,0.0010298,0.0010298
51,559.576,2.77461,1.10701,2.1223,0.96471,0.95005,0.98266,0.58877,2.83595,0.97105,2.2734,0.00101,0.00101,0.00101
52,570.115,2.77308,1.12126,2.12077,0.95943,0.94909,0.98122,0.60679,2.76129,0.93669,2.24143,0.0009902,0.0009902,0.0009902
53,580.299,2.75496,1.10413,2.10642,0.9615,0.95962,0.98452,0.60418,2.83894,0.94457,2.25719,0.0009704,0.0009704,0.0009704
54,590.48,2.79408,1.10994,2.13989,0.96799,0.95869,0.98526,0.57984,2.94128,0.95418,2.32167,0.0009506,0.0009506,0.0009506
55,600.616,2.79965,1.09624,2.14055,0.9656,0.94813,0.98129,0.58625,2.84608,0.96886,2.27239,0.0009308,0.0009308,0.0009308
56,610.676,2.77911,1.09145,2.11709,0.97001,0.95101,0.98086,0.59879,2.81775,0.94677,2.26385,0.000911,0.000911,0.000911
57,620.868,2.78762,1.09024,2.09878,0.95847,0.95677,0.98397,0.6032,2.80006,0.9325,2.2582,0.0008912,0.0008912,0.0008912
58,631.484,2.76717,1.09666,2.09945,0.95898,0.96575,0.98666,0.61407,2.76016,0.91824,2.25011,0.0008714,0.0008714,0.0008714
59,641.853,2.74309,1.08843,2.09082,0.96181,0.96254,0.98805,0.61711,2.73008,0.90965,2.23266,0.0008516,0.0008516,0.0008516
60,652.192,2.67569,1.05717,2.0875,0.95495,0.9571,0.98647,0.60408,2.77297,0.95178,2.2539,0.0008318,0.0008318,0.0008318
61,662.382,2.74407,1.07436,2.09543,0.97326,0.95965,0.98686,0.60569,2.77506,0.91996,2.25343,0.000812,0.000812,0.000812
62,672.892,2.71907,1.07084,2.07844,0.95993,0.96653,0.98571,0.61305,2.74674,0.90632,2.2381,0.0007922,0.0007922,0.0007922
63,683.266,2.7036,1.0805,2.07853,0.95646,0.96254,0.98475,0.60605,2.76644,0.93647,2.25022,0.0007724,0.0007724,0.0007724
64,693.348,2.65621,1.03807,2.08113,0.97424,0.94463,0.98285,0.61177,2.7818,0.9205,2.26187,0.0007526,0.0007526,0.0007526
65,703.471,2.6493,1.03705,2.0689,0.95604,0.9609,0.9836,0.61265,2.76925,0.92006,2.24617,0.0007328,0.0007328,0.0007328
66,713.668,2.68217,1.0469,2.09819,0.96805,0.96062,0.98713,0.61194,2.77367,0.92502,2.24196,0.000713,0.000713,0.000713
67,724.106,2.66215,1.04044,2.08009,0.96484,0.96254,0.98542,0.60923,2.80491,0.92656,2.25307,0.0006932,0.0006932,0.0006932
68,734.412,2.68556,1.0523,2.09274,0.96849,0.96158,0.98786,0.61485,2.74045,0.91487,2.23803,0.0006734,0.0006734,0.0006734
69,744.489,2.65053,1.03324,2.09263,0.9708,0.95805,0.98658,0.61049,2.76262,0.91225,2.25019,0.0006536,0.0006536,0.0006536
70,754.608,2.63652,1.02711,2.08453,0.98025,0.95366,0.98805,0.61667,2.76091,0.90179,2.24344,0.0006338,0.0006338,0.0006338
71,764.829,2.64123,1.03716,2.06269,0.96879,0.95434,0.98611,0.61452,2.76581,0.92175,2.25694,0.000614,0.000614,0.000614
72,775.045,2.64239,1.03727,2.07107,0.9794,0.95916,0.98734,0.61349,2.78436,0.90882,2.26418,0.0005942,0.0005942,0.0005942
73,785.095,2.61361,1.02241,2.07676,0.96072,0.96325,0.9867,0.6095,2.78778,0.91303,2.26461,0.0005744,0.0005744,0.0005744
74,795.263,2.64452,1.03837,2.06631,0.96539,0.96254,0.98664,0.61654,2.73036,0.88788,2.23325,0.0005546,0.0005546,0.0005546
75,805.639,2.64365,1.03429,2.06686,0.97549,0.95773,0.98752,0.6182,2.73629,0.89231,2.23195,0.0005348,0.0005348,0.0005348
76,815.982,2.56521,0.99802,2.05248,0.96436,0.95965,0.98738,0.6152,2.75373,0.88937,2.2363,0.000515,0.000515,0.000515
77,826.303,2.60676,1.0164,2.05287,0.95991,0.96609,0.98698,0.61008,2.76844,0.90257,2.24843,0.0004952,0.0004952,0.0004952
78,836.642,2.61298,1.02547,2.0549,0.95822,0.96254,0.98555,0.61697,2.75354,0.90997,2.24536,0.0004754,0.0004754,0.0004754
79,846.773,2.61985,1.01883,2.0516,0.96609,0.95965,0.98806,0.61682,2.76286,0.8875,2.24585,0.0004556,0.0004556,0.0004556
80,856.947,2.58164,1.01718,2.0524,0.97075,0.95869,0.98678,0.61935,2.74621,0.88958,2.24663,0.0004358,0.0004358,0.0004358
81,867.186,2.57407,0.99755,2.0413,0.9694,0.95677,0.98712,0.60655,2.81052,0.91198,2.26339,0.000416,0.000416,0.000416
82,877.435,2.59389,1.02152,2.04794,0.96968,0.95241,0.98817,0.61569,2.75891,0.8924,2.24457,0.0003962,0.0003962,0.0003962
83,887.662,2.60524,1.02162,2.04196,0.97045,0.96061,0.98887,0.62007,2.72651,0.89054,2.23627,0.0003764,0.0003764,0.0003764
84,897.77,2.54552,0.99859,2.04673,0.96895,0.95917,0.98908,0.61811,2.74147,0.88771,2.24014,0.0003566,0.0003566,0.0003566
85,907.867,2.56051,1.00939,2.05491,0.97644,0.9554,0.98852,0.61987,2.73422,0.88834,2.23408,0.0003368,0.0003368,0.0003368
86,918.208,2.56355,1.00664,2.03988,0.96722,0.96369,0.98859,0.62152,2.75384,0.8786,2.24697,0.000317,0.000317,0.000317
87,928.775,2.55896,1.00004,2.02194,0.97132,0.95869,0.98863,0.61414,2.75607,0.88965,2.25252,0.0002972,0.0002972,0.0002972
88,938.917,2.5679,1.00465,2.05165,0.96754,0.95965,0.98807,0.61305,2.74542,0.893,2.24256,0.0002774,0.0002774,0.0002774
89,949.378,2.56215,1.00884,2.0344,0.97265,0.95663,0.98816,0.61405,2.74944,0.89695,2.23676,0.0002576,0.0002576,0.0002576
90,959.535,2.51525,0.98213,2.01595,0.96968,0.95242,0.98811,0.61653,2.74914,0.89429,2.23902,0.0002378,0.0002378,0.0002378
91,970.595,2.4085,0.92051,2.11237,0.96791,0.95389,0.98702,0.61807,2.73356,0.87957,2.23752,0.000218,0.000218,0.000218
92,980.364,2.40184,0.90166,2.08462,0.97209,0.94813,0.98771,0.61513,2.75081,0.88885,2.24929,0.0001982,0.0001982,0.0001982
93,989.664,2.38456,0.89456,2.08098,0.97655,0.9602,0.98859,0.62076,2.73483,0.87443,2.23906,0.0001784,0.0001784,0.0001784
94,999.01,2.39023,0.89498,2.07737,0.97424,0.95965,0.98832,0.61728,2.7478,0.88371,2.24978,0.0001586,0.0001586,0.0001586
95,1008.34,2.3977,0.89633,2.09005,0.97556,0.95842,0.98807,0.61562,2.73885,0.88577,2.24076,0.0001388,0.0001388,0.0001388
96,1017.8,2.36983,0.89128,2.08971,0.97642,0.95485,0.9878,0.61193,2.76284,0.89042,2.25343,0.000119,0.000119,0.000119
97,1027.18,2.36139,0.88581,2.06865,0.95993,0.96663,0.98767,0.61396,2.73931,0.89321,2.24031,9.92e-05,9.92e-05,9.92e-05
98,1036.57,2.36699,0.88847,2.07141,0.9747,0.95773,0.98816,0.6116,2.75761,0.89502,2.24777,7.94e-05,7.94e-05,7.94e-05
99,1045.88,2.34233,0.87542,2.08018,0.96637,0.96638,0.98761,0.61515,2.7499,0.88401,2.24368,5.96e-05,5.96e-05,5.96e-05
100,1055.27,2.3304,0.87408,2.09719,0.96243,0.96542,0.98805,0.6179,2.74303,0.88227,2.24256,3.98e-05,3.98e-05,3.98e-05
